ID,Post Title,Post Name,Type,Singular,First Letter,Years,Year
1562,ROLAND BAILLY FOUNDATION,roland-bailly-foundation-2,Individual,1,f,2018,2018
1533,CHUV,chuv-3,Organisation,1,,2018;2019;2020,2018
1740,WYSS CENTER FOR BIO AND NEUROENGINEERING,wyss-center-for-bio-and-neuroengineering-2,Organisation,1,,2018;2019;2020,2018
1739,WINGS FOR LIFE SPINAL CORD RESEARCH FOUNDATION,wings-for-life-spinal-cord-research-foundation-2,Organisation,1,,2018;2019;2020,2018
1738,WERNER SIEMENS-STIFTUNG,werner-siemens-stiftung-2,Organisation,1,,2018;2019;2020,2018
1737,VILLE DE VERNIER,ville-de-vernier-2,Organisation,1,,2018;2019;2020,2018
1734,VILLE D'ONEX,ville-donex-2,Organisation,1,,2018;2019;2020,2018
1736,"VILLE DE LAUSANNE, DIRECTION DES FINANCES ET DE LA MOBILITÉ",ville-de-lausanne-direction-des-finances-et-de-la-mobilite-2,Organisation,1,,2018,2018
1735,VILLE DE LANCY,ville-de-lancy-2,Organisation,1,,2018;2019;2020,2018
1733,VELUX STIFTUNG,velux-stiftung-2,Organisation,1,,2018;2019;2020,2018
1732,UPC SWITZERLAND LLC,upc-switzerland-llc,Organisation,1,,2018;2019;2020,2018
1731,UNIRESO,unireso-2,Organisation,1,,2018,2018
1730,SWISSQUOTE BANK LTD,swissquote-bank-ltd,Organisation,1,,2018;2019;2020,2018
1729,SWISS BIOBANKING PLATFORM (SBP),swiss-biobanking-platform-sbp-2,Organisation,1,,2018;2019,2018
1728,SPART,spart-2,Organisation,1,,2018,2018
1727,SWISS MULTIPLE SCLEROSIS SOCIETY (MS),swiss-multiple-sclerosis-society-ms,Organisation,1,,2018,2018
1720,SOCIÉTÉ ACADÉMIQUE VAUDOISE,societe-academique-vaudoise-2,Organisation,1,,2018;2019,2018
1718,SICPA SA,sicpa-sa-2,Organisation,1,,2018;2019;2020,2018
1719,ROTARY CLUB GENÈVE INTERNATIONAL,rotary-club-geneve-international-2,Organisation,1,,2018,2018
1717,ROLEX SA,rolex-sa-2,Organisation,1,,2018;2019;2020,2018
1716,RICHEMONT INTERNATIONAL SA,richemont-international-sa-2,Organisation,1,,2018;2019;2020,2018
1715,PX GROUP SA,px-group-sa-2,Organisation,1,,2018;2019;2020,2018
1700,PETROSVIBRI SA,petrosvibri-sa-2,Organisation,1,,2018;2019;2020,2018
1699,PATEK PHILIPPE SA,patek-philippe-sa-2,Organisation,1,,2018;2019;2020,2018
1698,PARKINSON SCHWEIZ,parkinson-schweiz,Organisation,1,,2018,2018
1697,NOVARTIS,novartis-2,Organisation,1,,2018;2019;2020,2018
1696,NESTLÉ SA,nestle-sa-2,Organisation,1,,2018;2019;2020,2018
1695,NCCR-SWISSMAP,nccr-swissmap-2,Organisation,1,,2018,2018
1694,SWISS MOBILIAR COOPERATIVE COMPANY,swiss-mobiliar-cooperative-company,Organisation,1,,2018;2019;2020,2018
1693,METALLICA,metallica-2,Organisation,1,,2018,2018
1692,MERCK,merck-2,Organisation,1,,2018;2019;2020,2018
1690,MEDTRONIC EUROPE SÀRL,medtronic-europe-sarl-2,Organisation,1,,2018;2019;2020,2018
1689,LOTERIE ROMANDE,loterie-romande-2,Organisation,1,,2018;2019;2020,2018
1688,LOGITECH,logitech-2,Organisation,1,,2018;2019;2020,2018
1691,SWISS POST,swiss-post,Organisation,1,,2018;2019;2020,2018
1687,KRISTIAN GERHARD JEBSEN FOUNDATION,kristian-gerhard-jebsen-foundation-2,Organisation,1,,2018;2019;2020,2018
1678,"HGST, A WESTERN DIGITAL BRAND",hgst-a-western-digital-brand-2,Organisation,1,,2018;2019;2020,2018
